project_title,short_description,long_description,Crisis finance determination,Crisis finance confidence ML
WHO-SPRP-Core_231_41321_1.1.2 1.1 Improved access to quality essential health services,WHO-SPRP-CORE_231_41321_1.1.2 1.1 IMPROVED ACCESS TO QUALITY ESSENTIAL HEALTH SERVICES,WHO-SPRP-Core_231_41321_1.1.2 Countries enabled to strengthen their health systems to deliver on condition- and disease-specific service coverage results,Yes,0.995707750320435
WHO-SPRP-Core_231_41321_1.1.2 1.1 Improved access to quality essential health services,WHO-SPRP-CORE_231_41321_1.1.2 1.1 IMPROVED ACCESS TO QUALITY ESSENTIAL HEALTH SERVICES,WHO-SPRP-Core_231_41321_1.1.2 Countries enabled to strengthen their health systems to deliver on condition- and disease-specific service coverage results,Yes,0.995707750320435
WHO-SPRP-Core_231_41321_1.1.2 1.1 Improved access to quality essential health services,WHO-SPRP-CORE_231_41321_1.1.2 1.1 IMPROVED ACCESS TO QUALITY ESSENTIAL HEALTH SERVICES,WHO-SPRP-Core_231_41321_1.1.2 Countries enabled to strengthen their health systems to deliver on condition- and disease-specific service coverage results,Yes,0.995707750320435
2_227_41307_2.3.1 2.3 Health emergencies rapidly detected and responded to,2_227_41307_2.3.1 2.3 HEALTH EMERGENCIES RAPIDLY DETECTED AND RESPONDED TO,"2_227_41307_2.3.1 Potential health emergencies rapidly detected, and risks assessed and communicated",Yes,0.995669960975647
"WHO-SPRP-Core_245_41321_13.3.3 13.3 Acute health emergencies rapidly responded to, leveraging relevant national and international capacities","WHO-SPRP-CORE_245_41321_13.3.3 13.3 ACUTE HEALTH EMERGENCIES RAPIDLY RESPONDED TO, LEVERAGING RELEVANT NATIONAL AND INTERNATIONAL CAPACITIES","WHO-SPRP-Core_245_41321_13.3.3 Essential health services and systems maintained and strengthened in fragile, conflict and vulnerable settings",Yes,0.995630621910095
IFRC humanitarian assistance to Southern Africa,IFRC HUMANITARIAN ASSISTANCE TO SOUTHERN AFRICA,This fund provides support to small and medium scale new or emerging humanitarian responses in Sub-Saharan Africa.,Yes,0.995616674423218
World Food Programme (WFP) â Syria,WORLD FOOD PROGRAMME (WFP) â SYRIA,"Conflict, mass population displacement and unprecedented economic pressures are driving hunger to Syrian families. Families have lost their jobs due to COVID19 lockdowns and at the same time the price of basic foods have soared to record highs. Combined,",Yes,0.995477139949799
Localized action for the integral protection of the rights and dignity of the Palestinian population,LOCALIZED ACTION FOR THE INTEGRAL PROTECTION OF THE RIGHTS AND DIGNITY OF THE PALESTINIAN POPULATION,"El proyecto busca contribuir a la respuesta a la prolongada crisis humanitaria en la que se encuentra la poblaciÃ³n de Deir Ballout, Haris y Qarawat (Gobernorado de Salfit, Palestina) y a la protecciÃ³n de los derechos y la dignidad de la poblaciÃ³n bajo ocupaciÃ³n, con un enfoque humanitario pero que aspira a promover una base para el desarrollo, la igualdad de gÃ©nero y la construcciÃ³n de paz.El proyecto es implementado por una agrupaciÃ³n de ONG locales (Agricultural Development Association [PARC], Palestinian Hydrology Group [PHG] y Psycho Social Councelling Centre for Women [PSCCW]) y ACPP, llamada Action Group, quienes desde 2017 han ido desarrollando una estrategia humanitaria conjunta (Organized Local Response) en Palestina.",Yes,0.995475709438324
WHO-SPRP-Core_89_41321_13.1.3 13.1 Countries operationally ready to assess and manage identified risks and vulnerabilities,WHO-SPRP-CORE_89_41321_13.1.3 13.1 COUNTRIES OPERATIONALLY READY TO ASSESS AND MANAGE IDENTIFIED RISKS AND VULNERABILITIES,WHO-SPRP-Core_89_41321_13.1.3 Countries operationally ready to assess and manage identified risks and vulnerabilities,Yes,0.995447099208832
ENM SPLUNK ELA Establishment BAR 19P 431[Other Contractual Services NOC],ENM SPLUNK ELA ESTABLISHMENT BAR 19P 431[OTHER CONTRACTUAL SERVICES NOC],Helene C. Thomas[Covers miscellaneous contractual services not otherwise classified.],Yes,0.995375514030457
World Food Programme (WFP) â Gaza Strip,WORLD FOOD PROGRAMME (WFP) â GAZA STRIP,"WFP responded with humanitarian assistance during the recent round of hostilities in Gaza, providing emergency relief to over 100,000 people in need. WFP provided recovery assistance, including through multi-purpose cash assistance, nutritionally-balanced",Yes,0.99529355764389
SUPPORT FOR NUTRITIONAL HEALTH FOR THE POPULATION AFFECTED BY THE CONFLICT IN MALI IN THE REGION OF MOPTI SPECIALLY FOCUSED ON CHILDREN UNDER 5,SUPPORT FOR NUTRITIONAL HEALTH FOR THE POPULATION AFFECTED BY THE CONFLICT IN MALI IN THE REGION OF MOPTI SPECIALLY FOCUSED ON CHILDREN UNDER 5,"Mali, y en concreto la RegiÃ³n de Mopti, se encuentra sumida en un conflicto obligando a miles de personas a desplazarse a zonas mÃ¡s seguras. Esta situaciÃ³n se agrava por la inseguridad alimentaria surgida por el abandono de campos y el aumento poblacional. Este contexto es la causa principal de las elevadas tasas de desnutriciÃ³n aguda severa infantil en el CÃ­rculo de Bandiagara. Por ello, el proyecto pretende proporcionar asistencia humanitaria a las personas mÃ¡s vulnerables (menores de 5 aÃ±os, mujeres y desplazados), incidiendo en la prevenciÃ³n y tratamiento de la MAS y en la seguridad alimentaria bajo enfoque de GÃ©nero, medio ambiente, interculturalidad y DD.HH.Para ello, se va a trabajar en 3 ejes:- Mejora de la atenciÃ³n sanitaria de la MAS por parte de los servicios sanitarios locales.- Refuerzo de las capacidades comunitarias para la prevenciÃ³n, detecciÃ³n y seguimiento de la MAS.- Mejora de las necesidades alimentarias de familias desplazadas y de mujeres vulnerables",Yes,0.995230972766876
RSC Asia[Awards-  Cooperative Agreements],RSC ASIA[AWARDS-  COOPERATIVE AGREEMENTS],"To fund IRC which will administer RSC Asia[Covers awards where the principle purpose of the relationship is the transfer of money, property, services, or anything of value to the state, local government, or other recipient to accomplish a public purpose of support or stimulation authorized by the Federal statute.]",Yes,0.99520206451416
"WHO-SPRP-Core_665_41321_1.3.1 1.3 Improved access to essential medicines, vaccines, diagnostics and devices for primary health care","WHO-SPRP-CORE_665_41321_1.3.1 1.3 IMPROVED ACCESS TO ESSENTIAL MEDICINES, VACCINES, DIAGNOSTICS AND DEVICES FOR PRIMARY HEALTH CARE","WHO-SPRP-Core_665_41321_1.3.1 Provision of authoritative guidance and standards on quality, safety and efficacy of health products, including through prequalification services, essential medicines and diagnostics lists",Yes,0.99519556760788
"WHO-SPRP-Core_665_41321_1.3.1 1.3 Improved access to essential medicines, vaccines, diagnostics and devices for primary health care","WHO-SPRP-CORE_665_41321_1.3.1 1.3 IMPROVED ACCESS TO ESSENTIAL MEDICINES, VACCINES, DIAGNOSTICS AND DEVICES FOR PRIMARY HEALTH CARE","WHO-SPRP-Core_665_41321_1.3.1 Provision of authoritative guidance and standards on quality, safety and efficacy of health products, including through prequalification services, essential medicines and diagnostics lists",Yes,0.99519556760788
"WHO-SPRP-Core_665_41321_1.3.1 1.3 Improved access to essential medicines, vaccines, diagnostics and devices for primary health care","WHO-SPRP-CORE_665_41321_1.3.1 1.3 IMPROVED ACCESS TO ESSENTIAL MEDICINES, VACCINES, DIAGNOSTICS AND DEVICES FOR PRIMARY HEALTH CARE","WHO-SPRP-Core_665_41321_1.3.1 Provision of authoritative guidance and standards on quality, safety and efficacy of health products, including through prequalification services, essential medicines and diagnostics lists",Yes,0.99519556760788
"WHO-SPRP-Core_665_41321_1.3.1 1.3 Improved access to essential medicines, vaccines, diagnostics and devices for primary health care","WHO-SPRP-CORE_665_41321_1.3.1 1.3 IMPROVED ACCESS TO ESSENTIAL MEDICINES, VACCINES, DIAGNOSTICS AND DEVICES FOR PRIMARY HEALTH CARE","WHO-SPRP-Core_665_41321_1.3.1 Provision of authoritative guidance and standards on quality, safety and efficacy of health products, including through prequalification services, essential medicines and diagnostics lists",Yes,0.99519556760788
Humanitarian Assistance Activity,HUMANITARIAN ASSISTANCE ACTIVITY,"To provide health, nutrition, and protection assistance to conflict and disaster affected populations in Haute Kotto and Ouaka, Central African Republic",Yes,0.995157659053802
Complex Humanitarian Emergency and War-Related Injury Public Health Activities,COMPLEX HUMANITARIAN EMERGENCY AND WAR-RELATED INJURY PUBLIC HEALTH ACTIVITIES,"Conducting Operational Research to Identify Numbers and Rates, Determine Needs, and Integrate Services to Mitigate Morbidity and Mortality Among Internally Displaced Persons Affected by Emergencies. To bring public health and epidemiologic principles to the aid of populations affected by complex humanitarian emergencies. Work will focus on the following main program areas: (1) Providing technical assistance including rapid health and nutrition assessments, public health surveillance, epidemic investigations, disease prevention and control, program evaluation and emergency preparedness, (2) Developing, implementing and disseminating findings from operational research projects aimed at developing more effective public health interventions, (3) Designing, implementing, and evaluating training activities to strengthen the capacity of CDC, other U.S. government agencies, international and private voluntary organizations, other governments, and public health students, (4) Developing and disseminating guidelines on public health issues and technical areas, and (5) Planning and maintaining partnerships with strategic international, bilateral, and non-governmental relief organizations.",Yes,0.995051562786102
2_764_41307_13.1.3 13.1 Countries operationally ready to assess and manage identified risks and vulnerabilities,2_764_41307_13.1.3 13.1 COUNTRIES OPERATIONALLY READY TO ASSESS AND MANAGE IDENTIFIED RISKS AND VULNERABILITIES,2_764_41307_13.1.3 Countries operationally ready to assess and manage identified risks and vulnerabilities,Yes,0.994905471801758
IRC FY 2018 Reception   Placement[Awards-  Cooperative Agreements],IRC FY 2018 RECEPTION   PLACEMENT[AWARDS-  COOPERATIVE AGREEMENTS],"To provide reception and placement services to eligible recipients.[Covers awards where the principle purpose of the relationship is the transfer of money, property, services, or anything of value to the state, local government, or other recipient to accomplish a public purpose of support or stimulation authorized by the Federal statute.]",Yes,0.994866371154785
Humanitarian assistance to homes of the Bocacosta in the Municipalities of Chicacao and Santa Barbara of the Department of Suchitepequez,HUMANITARIAN ASSISTANCE TO HOMES OF THE BOCACOSTA IN THE MUNICIPALITIES OF CHICACAO AND SANTA BARBARA OF THE DEPARTMENT OF SUCHITEPEQUEZ,"TÃ­tulo completo del proyecto: Asistencia humanitaria a hogares de la boca costa de los  Municipios de Chicacao y de Santa BÃ¡rbara del Departamento de SuchitepÃ©quez cuya situaciÃ³n de vulnerabilidad se ha visto agravada por el impacto del COVID-19, Guatemala :: El 5 de marzo el Gobierno de Guatemala decretÃ³ Estado de Calamidad por el COVID-19, vigente hasta la actualidad. Las medidas de contenciÃ³n decretadas estÃ¡n agravando los problemas estructurales y exacerbando el hambre estacional en Guatemala. El paÃ­s iniciÃ³ el 2020 con una prevalencia de subalimentaciÃ³n de alrededor del 15% del total de la poblaciÃ³n (OCHA, 2020), siendo la quinta mÃ¡s alta de AmÃ©rica Latina. Los pronÃ³sticos han estimado que esta cifra aumentarÃ¡ entorno a un 19% entre junio y septiembre de 2020 debido al agotamiento de las reservas alimentarias, la pÃ©rdida de empleo y fuentes de ingresos alternativas, la disminuciÃ³n de las remesas, la dificultad de movilizaciÃ³n para buscar ingresos y el alza en los productos de consumo bÃ¡sico, entre otras complicaciones generadas por el COVID-19. El paÃ­s tiene la tasa de desnutriciÃ³n crÃ³nica en menores de 5 aÃ±os mÃ¡s alta de AmÃ©rica Latina y el Caribe, ocupando el sexto lugar a nivel mundial, con una prevalencia del 46.5% (UNICEF, 2019), con un riesgo inminente de aumento de la desnutriciÃ³n aguda en algunas zonas. A medida que la crisis se prolonga, las carencias y necesidades primarias de las familias se van incrementando, con incidencia diferenciada y agravada para la niÃ±ez y las mujeres. A corto plazo, las principales necesidades de los grupos mÃ¡s vulnerables son: asistencia alimentaria, provisiÃ³n de agua segura para consumo humano, insumos de higiene y saneamiento para una correcta protecciÃ³n, identificaciÃ³n y tratamiento de los casos de desnutriciÃ³n aguda, acceso a medicamentos y servicios de salud en emergencia.",Yes,0.994706928730011
Humanitarian Assistance,HUMANITARIAN ASSISTANCE,To support camp management activities and the distribution of winter NFIs,Yes,0.994679749011993
NRC agreement HUM 2017-2019 - Repayment NRC 2021,NRC AGREEMENT HUM 2017-2019 - REPAYMENT NRC 2021,"In accordance with Sida's humanitarian allocation process 2018, Sida proposes to support NRC's humanitarian programs in the following 21 countries, Afghanistan, Cameroon, Central African Republic, Democratic Republic of Congo, Eritrea, Ethiopia, Iran, Iraq, Jordan, Kenya, Lebanon, Libya, Mali, Nigeria, Palestine, Somalia, South Sudan, Syrian Arab Republic, Uganda, Ukraine and Yemen. Sida will contribute with an unearmarked allocation per country, which will give NRC the flexibility to meet the most acute humanitarian needs in ever-changing contexts. However, in the specific case of Palestine, Sida will earmark the contribution to the ICLA-component, as this sector is considered high priority and as contributory to the HRPs focus on protection.  The support to Central African Republic and the Democratic Republic of Congo is suggested to span over a two-year period. This is in line with Sida's ambition to increase our partner's predictability, and allow for their long-term planning and alignment with a multi-year HRP.Sida is also suggesting a multi-year contribution to NRC's Rapid Response Mechanism, to allow for a timely response to sudden onset situations or escalating crises.   Furthermore, Sida suggests a two-year financial contribution to the NRC-led Internal Displacement Monitoring Centre (IDMC), which strives to increase knowledge on the needs of internally displaced, and one-year contributions to the NRC/NORCAP managed project Strengthening capacity for use of cash- and market based responses in humanitarian action, to NRC s internal work on  Digital Transformation  and to NRC's work on humanitarian policy, which includes work to strengthen the global humanitarian system and NGO participation in the system.Sida also proposes to channel funds through NRC for the support of three NGO platforms, the Jordan INGO Forum (JIF), the Lebanon Humanitarian INGO Forum (LHIF) and the International Association of Development Agencies (AIDA).  In regard to AIDA, the Consulate General in Jerusalem has the intention to provide support for AIDA within the framework of the cooperation strategy for Palestine. Efficiency gains can be achieved by providing the support through the NRC-Sida humanitarian unit cooperation agreement, and it is thus suggested that Sida/HUM channels this limited development funding, with funding delegated from Palestine Strategy, decision number XXX XXXXNRC's target group is mainly comprised of refugees and internally displaced persons but also when relevant, host communities and returnees. NRC is working within its six core competencies (sectors), shelter, livelihoods and food security, education, water and sanitation, camp management and legal advice.Sida's support to NRC comprises a three year agreement for humanitarian activities, for which funding is decided each year based on Sida's allocation process and NRC's yearly application. Additional funding is granted through supplementary decisions throughout the year.UPDATE 2021Increas",Yes,0.994669139385223
Humanitarian Assistance,HUMANITARIAN ASSISTANCE,Material relief assistance and services,Yes,0.994575142860413
"Julia Taft Grant[Grants, Subsidies, and Contributions]","JULIA TAFT GRANT[GRANTS, SUBSIDIES, AND CONTRIBUTIONS]","Julia Taft Grant[Covers grants (including revenue- sharing), subsidies, gratuities, and other aid for which cash payments are made to states, other political subdivisions, corporations, associations, and individuals, contributions to international societies, commissions, proceedings, or projects, whether in lump sum or as quotas of expenses, contributions fixed by treaty, grants to foreign countries, taxes imposed by taxing authorities where the Federal Government has consented to taxation (excluding the employers share of Federal Insurance Contribution Act taxes), and payments in lieu of taxes. Includes readjustment and other benefits for veterans, other than indemnities for death or disability.]",Yes,0.994562089443207
"Julia Taft Refugee Fund   Fundacion Mujer[Grants, Subsidies, and Contributions]","JULIA TAFT REFUGEE FUND   FUNDACION MUJER[GRANTS, SUBSIDIES, AND CONTRIBUTIONS]","Julia Taft Refugee Fund   Fundacion Mujer[Covers grants (including revenue- sharing), subsidies, gratuities, and other aid for which cash payments are made to states, other political subdivisions, corporations, associations, and individuals, contributions to international societies, commissions, proceedings, or projects, whether in lump sum or as quotas of expenses, contributions fixed by treaty, grants to foreign countries, taxes imposed by taxing authorities where the Federal Government has consented to taxation (excluding the employers share of Federal Insurance Contribution Act taxes), and payments in lieu of taxes. Includes readjustment and other benefits for veterans, other than indemnities for death or disability.]",Yes,0.994392216205597
Safe from the Start[Awards-  Cooperative Agreements],SAFE FROM THE START[AWARDS-  COOPERATIVE AGREEMENTS],"Safe from the Start[Covers awards where the principle purpose of the relationship is the transfer of money, property, services, or anything of value to the state, local government, or other recipient to accomplish a public purpose of support or stimulation authorized by the Federal statute.]",Yes,0.994389832019806
Global Partnership for Education (GPE) - Program Contribution,GLOBAL PARTNERSHIP FOR EDUCATION (GPE) - PROGRAM CONTRIBUTION,"The Global Partnership for Education Fund (GPE) Fund is a multilateral financing mechanism supporting the Global Partnership for Education (GPE). This partnership is a global partnership of developing and donor countries and agencies, civil society organizations, private foundations and the private sector. GPE focuses on accelerating progress towards the 'Education for All' goals. GPE's areas of focus are: 1) increasing equitable access to education in the primary grades, 2) creating improvements in learning outcomes, especially with regard to literacy and numeracy, 3) making education accessible in fragile and conflict-affected environments, 4) focusing on marginalized children while building sustainable, quality education systems. These priorities complement USAID's Education Strategy. USAID's contribution to the GPE Fund will advance USAID's goals set forth in E3/Education's 'Education Strategy' and will provide substantial leverage of USIAD's current resources. Note that the actual Prime Partner is Global Partnership for Education.",Yes,0.994250059127808
ECHO funding for Providing Humanitarian Assistance in Sahel Emergencies (PHASE),ECHO FUNDING FOR PROVIDING HUMANITARIAN ASSISTANCE IN SAHEL EMERGENCIES (PHASE),"To provide humanitarian assistance to vulnerable people in the Sahel and help them to cope with future disasters. This will be linked to the seasonal calendar and work alongside longer-term resilience programmes to reduce the long term demand for humanitarian assistance in the Sahel, and will be delivered through NGO and multilateral partners.",Yes,0.994236528873444
MYAP: Nobo Jibon (New Life),MYAP: NOBO JIBON (NEW LIFE),"Nobo Jibon is a five-year (2010-2015) program funded by USAIDs Multi Year Assistance Program (MYAP) and designed to reduce food insecurity and vulnerability for over 190,000 households (representing a population of about one million individual beneficiaries). The project covers nine most food-insecure upazillas in Barisal Division in southern Bangladesh. The core strategy of Nobo Jibon is to help households to have increased production and income, with improve access to food, links families and community groups with market opportunities that significantly improve households income. Indirect benefits of the program will spill over throughout Barisal Division as a result of broader disaster preparedness, early warning and response capacity.",Yes,0.994202077388763
HUMANITARIAN ACTION FIGHT AGAINST FOOD INSECURITY AND CHILD MALNUTRITION IN THE REGION OF SEGOU MALI,HUMANITARIAN ACTION FIGHT AGAINST FOOD INSECURITY AND CHILD MALNUTRITION IN THE REGION OF SEGOU MALI,"El objetivo general del proyecto es la ProtecciÃ³n del derecho a la salud a travÃ©s de la reducciÃ³n de la malnutriciÃ³n y la inseguridad alimentaria en las comunidades mÃ¡s afectadas de la RegiÃ³n de SÃ©gou afectadas por la pobreza crÃ³nica, las sequÃ­as y los efectos del conflicto armado en Mali. Su objetivo responde a las necesidades especÃ­ficas de los niÃ±os/as y mujeres embarazadas y lactantes que sufren mayores tasas de malnutriciÃ³n aguda severa y moderada en la RegiÃ³n de SÃ©gou.Para atenuar esta crisis nutricional las acciones se enfocarÃ¡n en mejorar su estado de salud mediante la distribuciÃ³n masiva de suplementos alimentarios y el refuerzo de la atenciÃ³n sanitaria encargada del diagnÃ³stico y tratamiento de la malnutriciÃ³n mediante el aporte de medicamentos, equipamiento, infraestructuras y formaciÃ³n de los agentes sanitarios en 6 distritos de los departamentos de San y Tominian implicando a los actores comunitarios en la respuesta, prevenciÃ³n y toma de decisiones de la intervenciÃ³n.",Yes,0.994199752807617
in support of predictive analytics to improve humanitarian response with a focus on COVID-19 modeling,IN SUPPORT OF PREDICTIVE ANALYTICS TO IMPROVE HUMANITARIAN RESPONSE WITH A FOCUS ON COVID-19 MODELING,Programme: Data Science. Description: in support of predictive analytics to improve humanitarian response with a focus on COVID-19 modeling,Yes,0.994114995002747
Supporting public and community healthcare systems to save lives and contain the COVID19 pandemic through prevention measures,SUPPORTING PUBLIC AND COMMUNITY HEALTHCARE SYSTEMS TO SAVE LIVES AND CONTAIN THE COVID19 PANDEMIC THROUGH PREVENTION MEASURES,"TÃ­tulo completo del proyecto: Apoyar a los sistemas de salud pÃºblicos y comunitarios para salvar vidas y contener la pandemia de COVID19, a travÃ©s de medidas de prevenciÃ³n y el acceso a servicios de atenciÃ³n sanitaria en Guayaquil, ECUADOR :: La propuesta tiene como objetivo contribuir a la respuesta global a la crisis por COVID- 19, atendiendo a las necesidades humanitarias y sanitarias inmediatas generadas por la pandemia, en lÃ­nea con el Plan de Respuesta de la Cruz Roja Ecuatoriana de apoyo a los sistemas de salud pÃºblicos y comunitarios, asÃ­ como del llamamiento de la FederaciÃ³n Internacional de la Cruz Roja y la Media Luna Roja. En concreto, se espera reforzar los sistemas de salud (prevenciÃ³n, detecciÃ³n, aislamiento y tratamiento de casos de COVID-19), ampliando la cobertura en comunidades mÃ¡s afectadas reduciendo la sobrecarga de los servicios de atenciÃ³n esenciales y promover medidas de mitigaciÃ³n del impacto de la pandemia en el sistema de salud pÃºblica y detecciÃ³n temprana de casos mediante pruebas rÃ¡pidas en la ciudad de Guayaquil, provincia de Guayas.",Yes,0.994017124176025
USAID/OFDA Cooperative Agreement for DRC/Complex Emergency,USAID/OFDA COOPERATIVE AGREEMENT FOR DRC/COMPLEX EMERGENCY,Program to provide vital primary health care services to conflict-affected people through support to health care facilities in eastern DRC.,Yes,0.993981778621674
AAA  Advancing Animal Assets  to Increase the Resi[Awards-  Cooperative Agreements],AAA  ADVANCING ANIMAL ASSETS  TO INCREASE THE RESI[AWARDS-  COOPERATIVE AGREEMENTS],"To increase the resiliency of Malian refugees in Burkina Faso.[Covers awards where the principle purpose of the relationship is the transfer of money, property, services, or anything of value to the state, local government, or other recipient to accomplish a public purpose of support or stimulation authorized by the Federal statute.]",Yes,0.99397873878479
Strengthening international outbreak response,STRENGTHENING INTERNATIONAL OUTBREAK RESPONSE,"The World Health Organization's Contingency Fund for Emergencies (CFE) was established in 2015 following a review of the 2014 Ebola outbreak response. Contributions, are mainly used to enable the immediate mobilisation of expert WHO personnel in response to disease outbreaks. In 2017, the CFE enabled 36 outbreak response operations at a cost of US$20.8 million across 23 countries including Madagascar (plague), the Democratic Republic of the Congo (Ebola), Bangladesh (water-borne and vaccine-preventable diseases affecting Rohingya refugees), Fiji and Vanuatu (health emergencies arising from natural disasters). The CFE has proven to be a very effective tool for outbreak containment, as was demonstrated most notably in the case of the previous Ebola outbreak in Likati, DRC, in mid-2017. The proposed contribution of up to $4 million by Australia would position us as the fourth largest donor to the CFE in cumulative terms after Germany, the UK and Japan. Complementing the CFE, the World Ban",Yes,0.99396139383316
United Nations Development Programme (UNDP) -  Disaster Risk Reduction in Pakistan,UNITED NATIONS DEVELOPMENT PROGRAMME (UNDP) -  DISASTER RISK REDUCTION IN PAKISTAN,"Support for up to three million of the most vulnerable people affected by natural disaster and conflict.  This will cover both immediate relief and early recovery interventions for shelter, food, non-food items, water and sanitation, livelihood and protection needs, depending on the emergency.   This programme will also support developments in the United Nations and local civil society which are required for humanitarian responses to be more locally owned and effective in future, as well as effective monitoring and evaluation, targeted active research and piloting.",Yes,0.993863463401794
United Nations Development Programme (UNDP) -  Disaster Risk Reduction in Pakistan,UNITED NATIONS DEVELOPMENT PROGRAMME (UNDP) -  DISASTER RISK REDUCTION IN PAKISTAN,"Support for up to three million of the most vulnerable people affected by natural disaster and conflict.  This will cover both immediate relief and early recovery interventions for shelter, food, non-food items, water and sanitation, livelihood and protection needs, depending on the emergency.   This programme will also support developments in the United Nations and local civil society which are required for humanitarian responses to be more locally owned and effective in future, as well as effective monitoring and evaluation, targeted active research and piloting.",Yes,0.993863463401794
3_261_41143_2.1.1 2.1 Countries prepared for health emergencies,3_261_41143_2.1.1 2.1 COUNTRIES PREPARED FOR HEALTH EMERGENCIES,3_261_41143_2.1.1 All-hazards emergency preparedness capacities in countries assessed and reported,Yes,0.993848741054535
