variable,beta
ChannelName_International Finance Facility for Immunisation,0.0102285412504921
ChannelName_International Fund for Agricultural Development,-0.171607953140603
ChannelName_International Institute for Sustainable Development,-0.0418973412492618
ChannelName_International Monetary Fund - Poverty Reduction and Growth Trust,-0.00826881093076452
ChannelName_International Monetary Fund - Subsidization of Emergency Post Conflict Assistance/Emergency Assistance for Natural Disasters for PRGT-eligible members,0.098706595705785
ChannelName_International Monetary Fund (IMF),0.0115897143007752
ChannelName_International NGO,-0.0308969920799846
ChannelName_International Organisation for Migration,0.174558439508654
ChannelName_International Water Management Institute,0.0674443605488107
ChannelName_Local Government,5.86535669895101e-05
ChannelName_Organisation of American States,0.00109873936822619
ChannelName_Other,-0.022039873066746
ChannelName_Other multilateral institutions,-0.0450585060952882
ChannelName_Other non-financial corporations,-0.0158132321249887
ChannelName_Other public entities in donor country,0.0121362910931086
ChannelName_Pacific Regional Environment Programme,0.0191372380024443
ChannelName_Pan-American Health Organisation,-0.20968823837452
ChannelName_Private sector in provider country,0.0437729517634935
ChannelName_Private sector in recipient country,0.0196672702048008
ChannelName_Private sector in third country,9.31368741619196e-05
ChannelName_Private Sector Institutions,0.0261119296718469
ChannelName_Public corporations,-0.00379908327380944
ChannelName_Public-Private Partnerships (PPP),-0.0810103448173391
ChannelName_Recipient Government,0.0131051241802705
ChannelName_Sahara and Sahel Observatory,0.00396484788961826
ChannelName_Secretariat of the Pacific Community,0.00532335797343863
ChannelName_Third Country Government (Delegated co-operation),-0.0608545501775913
ChannelName_UN-Multi Partner Trust Fund Office,0.0549231442567516
"ChannelName_United Nations (UN) agency, fund or commission",-0.00500877390243636
ChannelName_United Nations Capital Development Fund,0.0302783105754907
ChannelName_United Nations Children’s Fund,0.0686596711306005
ChannelName_United Nations Conference on Trade and Development,0.0407085053561877
"ChannelName_United Nations Department of Political and Peacebuilding Affairs, Trust Fund in Support of Political Affairs",-0.0533448707349232
ChannelName_United Nations Development Programme,-0.0192620134662108
ChannelName_United Nations Economic Commission for Europe (extrabudgetary contributions only),-0.0190246495285718
"ChannelName_United Nations Educational, Scientific and Cultural Organisation",0.0889127362774567
ChannelName_United Nations Environment Programme,0.044581633420896
ChannelName_United Nations High Commissioner for Human Rights (extrabudgetary contributions only),0.0207404098734331
ChannelName_United Nations Industrial Development Organisation,0.0457490808800463
ChannelName_United Nations Institute for Training and Research,0.022788368241511
ChannelName_United Nations Mine Action Service,-0.0477677410856992
ChannelName_United Nations Office for Disaster Risk Reduction,-0.00891977794227004
ChannelName_United Nations Office of Co-ordination of Humanitarian Affairs,0.0468897135449082
ChannelName_United Nations Office of the High Commissioner for Refugees,-0.0163762892588268
ChannelName_United Nations Office of the United Nations High Commissioner for Refugees,0.0333248683783219
ChannelName_United Nations Population Fund,0.198734012996222
"ChannelName_University, college or other teaching institution, research institute or think-tank",-0.00720827379073026
ChannelName_World Food Programme,0.083938275883328
ChannelName_World Health Organisation - assessed contributions,-0.0925246923728746
ChannelName_World Health Organisation - core voluntary contributions account,-0.0158399054418291
ChannelName_World Meteorological Organisation,-0.0643184410757725
ChannelName_nan,-0.0176663177626251
