crs_id,project_title,short_description,long_description,purpose_name,PAF determination,PAF confidence ML
20182002700001,Adaptive and Innovative Solutions for Agri-Food Market Opportunities in Haiti/Solutions adaptées et innovatrices aux opportunités de marchés agroalimentaires en Haïti,ADAPTIVE AND INNOVATIVE SOLUTIONS FOR AGRI-FOOD MARKET OPPORTUNITIES IN HAITI/SOLUTIONS ADAPTÉES ET INNOVATRICES AUX OPPORTUNITÉS DE MARCHÉS AGROALIME,"This project aims to strengthen the maize value chain in Haiti's Sud and Artibonite departments. Its goal is to improve the livelihoods of 10,000 smallholder farm families through expanded commercialization and sustainable production of maize, along with bean, an essential companion crop. An emphasis is on creating opportunities for women and youth to contribute to - and benefit from - activities that promote added value and climate change adaptation in the targeted value chains. Project activities include: (1) increasing targeted maize producers' access to reliable, competitive, and durable markets for their product through the establishment of local purchasing centers with direct linkages to a large-scale industrial buyer , (2) improving agricultural productivity, yields, and post-harvest quality of maize and bean through promoting sustainable climate smart techniques and technologies, and (3) enhancing rural farm families' resiliency to recurrent natural disaster through disaster risk reduction awareness-raising. / Le projet vise à renforcer la filière maïs dans les départements du Sud et de l'Artibonite en Haïti. L'objectif est d'améliorer les moyens de subsistance de 10 000 petits exploitants agricoles grâce à une commercialisation élargie et une production durable de maïs, en association avec la culture du haricot. Un accent est mis sur la création d'opportunités au profit des femmes et des jeunes et d'activités contribuant à accroître la valeur ajoutée et à favoriser l'adaptation aux changements climatiques des filières ciblées. Les activités du projet comprennent: (1) améliorer l'accès des producteurs de maïs à des marchés fiables, compétitifs et durables pour leur produit grâce à la mise en place de centres d'achat locaux en relation directe avec un acheteur agro-industriel d'envergure, (2) améliorer la productivité agricole, des rendements et de la qualité post-récolte du maïs et du haricot grâce à la promotion de techniques et de technologies durables et intelligentes face au climat,(3) améliorer la résilience des ménages agricoles ruraux face aux catastrophes naturelles récurrentes par des activités de sensibilisation à la réduction des risques de catastrophe.",Rural development,Yes,0.999857544898987
20182002700001,Adaptive and Innovative Solutions for Agri-Food Market Opportunities in Haiti/Solutions adaptées et innovatrices aux opportunités de marchés agroalimentaires en Haïti,ADAPTIVE AND INNOVATIVE SOLUTIONS FOR AGRI-FOOD MARKET OPPORTUNITIES IN HAITI/SOLUTIONS ADAPTÉES ET INNOVATRICES AUX OPPORTUNITÉS DE MARCHÉS AGROALIME,"This project aims to strengthen the maize value chain in Haiti's Sud and Artibonite departments. Its goal is to improve the livelihoods of 10,000 smallholder farm families through expanded commercialization and sustainable production of maize, along with bean, an essential companion crop. An emphasis is on creating opportunities for women and youth to contribute to - and benefit from - activities that promote added value and climate change adaptation in the targeted value chains. Project activities include: (1) increasing targeted maize producers' access to reliable, competitive, and durable markets for their product through the establishment of local purchasing centers with direct linkages to a large-scale industrial buyer , (2) improving agricultural productivity, yields, and post-harvest quality of maize and bean through promoting sustainable climate smart techniques and technologies, and (3) enhancing rural farm families' resiliency to recurrent natural disaster through disaster risk reduction awareness-raising. / Le projet vise à renforcer la filière maïs dans les départements du Sud et de l'Artibonite en Haïti. L'objectif est d'améliorer les moyens de subsistance de 10 000 petits exploitants agricoles grâce à une commercialisation élargie et une production durable de maïs, en association avec la culture du haricot. Un accent est mis sur la création d'opportunités au profit des femmes et des jeunes et d'activités contribuant à accroître la valeur ajoutée et à favoriser l'adaptation aux changements climatiques des filières ciblées. Les activités du projet comprennent: (1) améliorer l'accès des producteurs de maïs à des marchés fiables, compétitifs et durables pour leur produit grâce à la mise en place de centres d'achat locaux en relation directe avec un acheteur agro-industriel d'envergure, (2) améliorer la productivité agricole, des rendements et de la qualité post-récolte du maïs et du haricot grâce à la promotion de techniques et de technologies durables et intelligentes face au climat,(3) améliorer la résilience des ménages agricoles ruraux face aux catastrophes naturelles récurrentes par des activités de sensibilisation à la réduction des risques de catastrophe.",Multi-hazard response preparedness,Yes,0.999857544898987
2020009377,Climate Resilience and Index Insurance Project,CLIMATE RESILIENCE AND INDEX INSURANCE PROJECT,Climate Resiliency and Index Insurance for small farmers in the DR.,Biosphere protection,Yes,0.999835968017578
2020010774,Market Enabling Activities,MARKET ENABLING ACTIVITIES,"To protect poor and vulnerable people, save lives and help developing countries to get back on their feet more quickly after a disaster by working with governments to strengthen planning, embed early action, and use risk financing tools like insurance and contingent credit to finance more cost-effective, rapid and reliable response to emergencies. It aims to empower governments to build resilience to natural disasters and climate change, and take ownership of their risks, with more assistance delivered through pre-financed government-led systems. Funded by the UK Government Prosperity Fund.",Formal sector financial intermediaries,Yes,0.999835848808289
2020010774,Market Enabling Activities,MARKET ENABLING ACTIVITIES,"To protect poor and vulnerable people, save lives and help developing countries to get back on their feet more quickly after a disaster by working with governments to strengthen planning, embed early action, and use risk financing tools like insurance and contingent credit to finance more cost-effective, rapid and reliable response to emergencies. It aims to empower governments to build resilience to natural disasters and climate change, and take ownership of their risks, with more assistance delivered through pre-financed government-led systems. Funded by the UK Government Prosperity Fund.",Environmental policy and administrative management,Yes,0.999835848808289
2020010774,Market Enabling Activities,MARKET ENABLING ACTIVITIES,"To protect poor and vulnerable people, save lives and help developing countries to get back on their feet more quickly after a disaster by working with governments to strengthen planning, embed early action, and use risk financing tools like insurance and contingent credit to finance more cost-effective, rapid and reliable response to emergencies. It aims to empower governments to build resilience to natural disasters and climate change, and take ownership of their risks, with more assistance delivered through pre-financed government-led systems. Funded by the UK Government Prosperity Fund.",Multi-hazard response preparedness,Yes,0.999835848808289
2008012539,Costa Rica Catastrophe Deferred Draw Down Option (CAT DDO),COSTA RICA CATASTROPHE DEFERRED DRAW DOWN OPTION (CAT DDO),"",Multi-hazard response preparedness,Yes,0.999827325344086
2015136714L,Further Development of the African Risk Capacity Insurance Company Ltd.,FURTHER DEVELOPMENT OF THE AFRICAN RISK CAPACITY INSURANCE COMPANY LTD.,Reducing the vulnerability of African countries towards increasing due to climate change extreme weather risks by improving access to and the use of customized insurance solutions .,Formal sector financial intermediaries,Yes,0.99982088804245
2015136714N,Further Development of the African Risk Capacity Insurance Company Ltd.,FURTHER DEVELOPMENT OF THE AFRICAN RISK CAPACITY INSURANCE COMPANY LTD.,Reducing the vulnerability of African countries towards increasing due to climate change extreme weather risks by improving access to and the use of customized insurance solutions .,Formal sector financial intermediaries,Yes,0.99982088804245
2011015457,Disaster Risk Management Development Policy Loan with a CAT DDO,DISASTER RISK MANAGEMENT DEVELOPMENT POLICY LOAN WITH A CAT DDO,"",Multi-hazard response preparedness,Yes,0.999818742275238
2020006078,Support to International Federation of Red Cross and Red Crescent Socieities (IFRC) Disaster Relief Emergency Fund (Disaster Relief Emergency Fund) Program to Replenish Funds Allocated for Population Movements Resulting From Conflict,SUPPORT TO INTERNATIONAL FEDERATION OF RED CROSS AND RED CRESCENT SOCIEITIES (IFRC) DISASTER RELIEF EMERGENCY FUND (DISASTER RELIEF EMERGENCY FUND) PR,"United States Population Migration and Refugee Assistance, Appropriation 1143.  Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [International Federation of Red Cross and Red Crescent Societies]",Material relief assistance and services,Yes,0.999812662601471
2020008548,Science for Humanitarian Emergencies and Resilience Programme.  Income (DFID),SCIENCE FOR HUMANITARIAN EMERGENCIES AND RESILIENCE PROGRAMME.  INCOME (DFID),"The programme has four focuses: disaster risk, subseasonal to seasonal forecasting, disaster risk monitoring, and the integration of these into practical decision making. The programme is targeting countries across subSaharan Africa and south Asia.",Environmental research,Yes,0.999803245067596
2011012384,South East Europe and Caucasus Catastrophe Risk Insurance Facility (Serbia and Macedonia),SOUTH EAST EUROPE AND CAUCASUS CATASTROPHE RISK INSURANCE FACILITY (SERBIA AND MACEDONIA),"",Social Protection,Yes,0.999799072742462
2020001029,Support of climate risk insurance,SUPPORT OF CLIMATE RISK INSURANCE,Regulatory frameworks and supervisory practices to promote inclusive insurance markets are implemented.,Formal sector financial intermediaries,Yes,0.99979442358017
2020000078,SUPPORT FOR HAITI TO MEET COMMITTMENT TO CARIBBEAN CATASTROPHE RISK INSURANCE FACILITY FOR THE 2020-2021 POLICY PERIOD,HAITI,"to contribute towards the cost of GOHs premium payment to CCRIF SPC for the period June 1, 2020 to May 31, 2021",Multi-hazard response preparedness,Yes,0.999792516231537
2013130517N,Africa Risk Capacity Pool (ARC) for Drought Insurance (Inv.),AFRICA RISK CAPACITY POOL (ARC) FOR DROUGHT INSURANCE (INV.),"Financing the establishment of the Africa Risk Capacity Pool (ARC) to insurance African states against extreme droughts, thereby reducing their vulnerability due to climate change (Inv.).",Agricultural financial services,Yes,0.999765455722809
2013130517L,Africa Risk Capacity Pool (ARC) for Drought Insurance (Inv.),AFRICA RISK CAPACITY POOL (ARC) FOR DROUGHT INSURANCE (INV.),"Financing the establishment of the Africa Risk Capacity Pool (ARC) to insurance African states against extreme droughts, thereby reducing their vulnerability due to climate change (Inv.).",Agricultural financial services,Yes,0.999765455722809
2014024714,CATASTROPHE DEFERRED DRAWDOWN OPTION (DPL with DDO),CATASTROPHE DEFERRED DRAWDOWN OPTION (DPL WITH DDO),"",Multi-hazard response preparedness,Yes,0.999745190143585
2014024717,CATASTROPHE DEFERRED DRAWDOWN OPTION (DPL with DDO),CATASTROPHE DEFERRED DRAWDOWN OPTION (DPL WITH DDO),"",Public finance management (PFM),Yes,0.999745190143585
2020004349a,Greater Mekong Subregion Sustainable Agriculture and Food Security Program (core portion),GREATER MEKONG SUBREGION SUSTAINABLE AGRICULTURE AND FOOD SECURITY PROGRAM (CORE PORTION),"The TA is aligned with the following impact: GMS as a leading supplier of safe and climate-friendly agri-food products realized. The TA will have the following outcome: investments and capacities for climate-friendly, safe and sustainable agri-food value chains increased.Output 1: Climate-friendly, inclusive and gender-conscious agri-food value chains and agribusinesses strengthened. This output will build capacities to implement climate-smart agriculture, pilot innovative technologies and mobilize financing for agribusinesses. Sub-output 1 on promoting green, inclusive and gender-conscious agri-food value chains will (i) identify policies and measures for promoting clean energy and reducing water consumption, food losses and waste in selected agri-food value chains while effectively integrating gender concerns, (ii) strengthen capacities of smallholders and agribusinesses along the value chain, including women farmers and entrepreneurs, on low carbon green supply chain management, agribusiness skills, value addition, and climate-smart agriculture technologies and practices through private-public partnerships, and (iii) conduct pilots on green supply chain management (e.g., nitrogen use efficiency and green water management) in selected agri-food value chains.Sub-output 2 on financing climate-smart agribusinesses will (i) propose measures for improving financial preparedness of small and medium agribusinesses, with specific focus on job creation for women, (ii) build capacities on green financing options for agribusinesses, and (iii) support a competitive grant scheme to small and medium agribusinesses to scale up low-carbon good manufacturing practices. Agricultural digital finance service aimed at women farmers and entrepreneurs will also be piloted. Output 2: Harmonized crop and livestock safety and quality systems adopted. Key activities on food safety and quality standards, certification and traceability include support for (i) harmonizing GMS policies and standards related to food safety and quality assurance, certification (e.g., organic, good agricultural practices, good manufacturing practices, geographic indications), accreditation, surveillance, and laboratories, (ii) establishing a platform to facilitate information exchange, coordination and food risk communication strategies, and (iii) conducting pilots on using digital technologies (e.g., artificial intelligence, Internet of Things, blockchain technologies) for food traceability and quality assurance to promote domestic and regional trade and ensure compliance with international food safety systems. Another sub-output on cross-border animal health and value chains improvement will support (i) safety policies and legislation on livestock, livestock products, and feed control, (ii) capacity strengthening for animal health workers to improve service delivery, control transboundary animal diseases and anti-microbial resistance, and (iii) piloting of advanced digital technologies for li",Agro-industries,Yes,0.999622106552124
